disarm_id;name;tactic_id
T0002;Facilitate State Propaganda;TA02
T0003;Leverage Existing Narratives;TA14
T0004;Develop Competing Narratives;TA14
T0010;Cultivate Ignorant Agents;TA15
T0014;Prepare Fundraising Campaigns;TA15
T0014.001;Raise Funds from Malign Actors;TA15
T0014.002;Raise Funds from Ignorant Agents;TA15
T0015;Create Hashtags and Search Artefacts;TA06
T0015.001;Use Existing Hashtag;TA06
T0015.002;Create New Hashtag;TA06
T0016;Create Clickbait;TA05
T0017;Conduct Fundraising;TA10
T0017.001;Conduct Crowdfunding Campaigns;TA10
T0018;Purchase Targeted Advertisements;TA05
T0020;Trial Content;TA08
T0022;Leverage Conspiracy Theory Narratives;TA14
T0022.001;Amplify Existing Conspiracy Theory Narratives;TA14
T0022.002;Develop Original Conspiracy Theory Narratives;TA14
T0023;Distort Facts;TA06
T0023.001;Reframe Context;TA06
T0023.002;Edit Open-Source Content;TA06
T0029;Online Polls;TA07
T0039;Bait Influencer;TA17
T0040;Demand Insurmountable Proof;TA14
T0042;Seed Kernel of Truth;TA08
T0044;Seed Distortions;TA08
T0045;Use Fake Experts;TA08
T0046;Use Search Engine Optimisation;TA08
T0047;Censor Social Media as a Political Force;TA18
T0048;Harass;TA18
T0048.001;"Boycott/""Cancel"" Opponents";TA18
T0048.002;Harass People Based on Identities;TA18
T0048.003;Threaten to Dox;TA18
T0048.004;Dox;TA18
T0049;Flood Information Space;TA17
T0049.001;Trolls Amplify and Manipulate;TA17
T0049.002;Flood Existing Hashtag;TA17
T0049.003;Bots Amplify via Automated Forwarding and Reposting;TA17
T0049.004;Utilise Spamoflauge;TA17
T0049.005;Conduct Swarming;TA17
T0049.006;Conduct Keyword Squatting;TA17
T0049.007;Inauthentic Sites Amplify News and Narratives;TA17
T0049.008;Generate Information Pollution;TA17
T0057;Organise Events;TA10
T0057.001;Pay for Physical Action;TA10
T0057.002;Conduct Symbolic Action;TA10
T0059;Play the Long Game;TA11
T0060;Continue to Amplify;TA11
T0061;Sell Merchandise;TA10
T0065;Prepare Physical Broadcast Capabilities;TA15
T0066;Degrade Adversary;TA02
T0068;Respond to Breaking News Event or Active Crisis;TA14
T0072;Segment Audiences;TA13
T0072.001;Geographic Segmentation;TA13
T0072.002;Demographic Segmentation;TA13
T0072.003;Economic Segmentation;TA13
T0072.004;Psychographic Segmentation;TA13
T0072.005;Political Segmentation;TA13
T0073;Determine Target Audiences;TA01
T0074;Determine Strategic Ends;TA01
T0074.001;Geopolitical Advantage;TA01
T0074.002;Domestic Political Advantage;TA01
T0074.003;Economic Advantage;TA01
T0074.004;Ideological Advantage;TA01
T0075;Dismiss;TA02
T0075.001;Discredit Credible Sources;TA02
T0076;Distort;TA02
T0077;Distract;TA02
T0078;Dismay;TA02
T0079;Divide;TA02
T0080;Map Target Audience Information Environment;TA13
T0080.001;Monitor Social Media Analytics;TA13
T0080.002;Evaluate Media Surveys;TA13
T0080.003;Identify Trending Topics/Hashtags;TA13
T0080.004;Conduct Web Traffic Analysis;TA13
T0080.005;Assess Degree/Type of Media Access;TA13
T0081;Identify Social and Technical Vulnerabilities;TA13
T0081.001;Find Echo Chambers;TA13
T0081.002;Identify Data Voids;TA13
T0081.003;Identify Existing Prejudices;TA13
T0081.004;Identify Existing Fissures;TA13
T0081.005;Identify Existing Conspiracy Narratives/Suspicions;TA13
T0081.006;Identify Wedge Issues;TA13
T0081.007;Identify Target Audience Adversaries;TA13
T0081.008;Identify Media System Vulnerabilities;TA13
T0082;Develop New Narratives;TA14
T0083;Integrate Target Audience Vulnerabilities into Narrative;TA14
T0084;Reuse Existing Content;TA06
T0084.001;Use Copypasta;TA06
T0084.002;Plagiarise Content;TA06
T0084.003;Deceptively Labelled or Translated;TA06
T0084.004;Appropriate Content;TA06
T0085;Develop Text-Based Content;TA06
T0085.001;Develop AI-Generated Text;TA06
T0085.003;Develop Inauthentic News Articles;TA06
T0085.004;Develop Document;TA06
T0085.005;Develop Book;TA06
T0085.006;Develop Opinion Article;TA06
T0085.007;Create Fake Research;TA06
T0085.008;Machine Translated Text;TA06
T0086;Develop Image-Based Content;TA06
T0086.001;Develop Memes;TA06
T0086.002;Develop AI-Generated Images (Deepfakes);TA06
T0086.003;Deceptively Edit Images (Cheap Fakes);TA06
T0086.004;Aggregate Information into Evidence Collages;TA06
T0087;Develop Video-Based Content;TA06
T0087.001;Develop AI-Generated Videos (Deepfakes);TA06
T0087.002;Deceptively Edit Video (Cheap Fakes);TA06
T0088;Develop Audio-Based Content;TA06
T0088.001;Develop AI-Generated Audio (Deepfakes);TA06
T0088.002;Deceptively Edit Audio (Cheap Fakes);TA06
T0089;Obtain Private Documents;TA06
T0089.001;Obtain Authentic Documents;TA06
T0089.003;Alter Authentic Documents;TA06
T0091;Recruit Malign Actors;TA15
T0091.001;Recruit Contractors;TA15
